origin_lat,origin_lon,dest_lat,dest_lon,timestamp,vehicle_type,trip_distance,trip_duration,fare,traffic_condition,weather,passenger_count,driver_rating,surge_multiplier
12.935138,77.621778,12.971435,77.601491,2024-02-02 01:07:41,Bike,5.96,16.1,125.63,Free Flow,Sunny,1,4.8,0.9
13.044119,77.590582,12.925859,77.552784,2024-01-28 01:29:01,Prime,17.87,48.2,336.75,Free Flow,Sunny,1,3.6,0.9
12.842597,77.657215,12.931371,77.576856,2024-02-19 04:35:19,SUV,17.05,46.0,373.61,Free Flow,Sunny,1,5.0,0.9
13.042218,77.58732,12.937467,77.577072,2024-01-18 20:20:12,Auto,15.18,82.0,345.19,High,Sunny,1,3.6,1.8
12.985565,77.548887,12.835706,77.662127,2024-02-03 09:52:30,Bike,26.81,144.8,568.91,High,Sunny,1,4.2,1.8
12.977881,77.637693,12.998534,77.558457,2024-02-12 16:48:36,Auto,11.48,44.8,244.99,Medium,Sunny,2,4.1,1.3
13.028937,77.599896,12.965395,77.604275,2024-02-26 11:42:11,Bike,9.19,49.6,214.71,High,Cloudy,1,4.0,1.8
13.00429,77.567498,12.98628,77.643053,2024-02-21 16:30:05,Auto,10.89,42.5,234.39,Medium,Cloudy,1,4.1,1.3
12.937829,77.62781,13.19017,77.70854,2024-01-12 15:17:01,Prime,38.13,148.7,730.55,Medium,Cloudy,2,4.1,1.3
12.979278,77.745993,12.928822,77.585046,2024-02-06 23:47:36,Bike,23.68,63.9,409.99,Free Flow,Cloudy,1,4.4,0.9
12.999994,77.550952,12.92411,77.579946,2024-01-17 18:18:42,Prime,11.68,63.1,284.72,High,Sunny,1,4.8,1.8
12.972355,77.645143,12.997927,77.555181,2024-02-15 16:30:29,Bike,13.12,51.2,264.22,Medium,Sunny,1,4.1,1.3
13.034008,77.606488,12.955336,77.700332,2024-02-27 08:32:09,Auto,17.36,93.8,388.96,High,Sunny,3,4.7,1.8
12.907417,77.648896,13.003682,77.568841,2024-02-17 13:48:15,Bike,17.85,69.6,348.57,Medium,Cloudy,1,4.6,1.3
12.928003,77.621454,13.000393,77.555524,2024-01-27 09:51:47,SUV,13.94,75.3,380.16,High,Sunny,5,3.8,1.8
13.005605,77.561535,12.983949,77.643181,2024-02-12 05:49:02,Prime,11.85,32.0,240.16,Free Flow,Sunny,1,4.4,0.9
13.007986,77.556255,12.966614,77.635936,2024-02-06 13:15:29,SUV,12.65,49.3,325.81,Medium,Sunny,1,4.7,1.3
12.915617,77.61334,12.92576,77.619681,2024-01-14 22:03:09,SUV,1.71,6.7,130.55,Medium,Cloudy,4,3.6,1.3
12.92884,77.545421,12.961594,77.644386,2024-02-22 22:19:46,Auto,14.64,68.5,350.22,Heavy Rain,Rainy,2,3.5,1.56
12.929749,77.541376,12.924405,77.586165,2024-01-02 05:40:40,Auto,6.32,17.1,141.38,Free Flow,Sunny,2,3.7,0.9
12.969934,77.741917,12.976906,77.634358,2024-02-28 05:09:12,Bike,15.09,40.7,272.17,Free Flow,Sunny,1,4.9,0.9
12.934419,77.627657,12.965265,77.59312,2024-02-18 21:35:54,Auto,6.57,35.5,172.08,High,Sunny,2,4.9,1.8
12.967438,77.634005,12.961679,77.697884,2024-01-23 12:41:05,SUV,8.98,35.0,260.29,Medium,Sunny,1,4.8,1.3
13.200093,77.705148,12.966181,77.759128,2024-02-29 19:08:12,SUV,34.59,186.8,795.23,High,Cloudy,1,4.0,1.8
12.914397,77.619774,12.92581,77.631122,2024-01-20 06:34:03,Mini,2.29,8.9,90.84,Medium,Sunny,4,3.9,1.3
13.002052,77.566445,12.99792,77.556842,2024-02-04 09:20:16,Bike,1.47,7.9,59.56,High,Sunny,1,4.3,1.8
12.837888,77.650622,12.971992,77.585379,2024-02-20 05:20:15,Mini,21.4,57.8,393.43,Free Flow,Sunny,1,4.2,0.9
12.976012,77.633741,12.961814,77.74795,2024-02-14 00:28:31,Auto,16.12,43.5,298.67,Free Flow,Sunny,1,4.2,0.9
12.92287,77.61517,12.930049,77.552445,2024-02-28 07:51:51,Mini,8.84,34.5,207.8,Medium,Sunny,1,3.8,1.3
12.913381,77.64051,12.985172,77.546613,2024-01-06 18:28:26,Auto,16.73,90.4,376.37,High,Sunny,2,3.7,1.8
12.921908,77.607418,12.920268,77.641542,2024-01-17 00:33:19,Bike,4.78,15.5,121.69,Heavy Rain,Rainy,1,4.5,1.08
12.924956,77.541069,12.987483,77.6434,2024-01-10 15:23:42,Mini,16.93,66.0,352.17,Medium,Sunny,1,4.4,1.3
12.962487,77.75937,12.920134,77.609304,2024-02-13 21:06:10,SUV,21.88,118.1,539.71,High,Sunny,1,3.8,1.8
12.850417,77.660614,12.923339,77.613616,2024-02-07 00:54:07,SUV,12.41,33.5,299.17,Free Flow,Sunny,2,3.8,0.9
12.839457,77.656957,12.990515,77.551765,2024-02-08 00:27:32,SUV,26.3,71.0,522.19,Free Flow,Cloudy,2,3.5,0.9
12.838458,77.655319,12.994888,77.555345,2024-02-24 07:06:21,SUV,26.56,103.6,574.07,Medium,Sunny,5,4.6,1.3
12.952915,77.688643,13.03478,77.596043,2024-01-27 12:25:22,Mini,17.54,68.4,363.03,Medium,Sunny,2,3.9,1.3
12.962728,77.584674,12.90995,77.641963,2024-02-07 19:52:34,Auto,11.06,71.7,308.22,Heavy Rain,Rainy,3,4.3,2.16
12.934738,77.548376,12.968793,77.597231,2024-02-17 22:46:20,Bike,8.42,32.8,180.31,Medium,Sunny,1,4.2,1.3
12.958579,77.705562,12.923108,77.613778,2024-01-20 11:09:50,Bike,13.83,74.7,307.97,High,Cloudy,1,4.9,1.8
13.045878,77.594186,12.973509,77.590443,2024-02-01 00:43:57,Bike,10.46,28.2,197.82,Free Flow,Sunny,1,3.5,0.9
12.935568,77.582933,12.836081,77.653931,2024-02-14 14:05:19,Auto,17.46,68.1,351.66,Medium,Sunny,1,4.7,1.3
12.951445,77.703085,13.009884,77.569106,2024-02-20 02:46:09,SUV,20.56,55.5,430.02,Free Flow,Sunny,3,4.1,0.9
12.95909,77.636437,13.0364,77.60221,2024-02-28 11:25:10,Prime,12.14,65.6,294.04,High,Sunny,1,4.7,1.8
12.925497,77.606998,12.998077,77.552688,2024-01-31 02:08:09,Bike,12.94,41.9,273.01,Heavy Rain,Rainy,1,4.7,1.08
12.979045,77.645914,12.924075,77.605208,2024-01-15 01:26:59,Bike,9.77,26.4,186.75,Free Flow,Sunny,1,3.8,0.9
13.203328,77.712208,12.963454,77.585593,2024-01-06 18:58:48,SUV,38.89,210.0,881.63,High,Cloudy,1,4.0,1.8
13.007695,77.566877,12.968979,77.753603,2024-02-28 06:01:25,Bike,26.73,104.2,507.07,Medium,Sunny,1,4.3,1.3
12.954949,77.704914,12.91426,77.640332,2024-01-23 09:47:32,Auto,10.78,58.2,256.66,High,Sunny,2,4.7,1.8
12.930949,77.537805,12.985251,77.632969,2024-01-21 07:35:32,Bike,15.45,60.3,305.85,Medium,Cloudy,1,4.4,1.3
13.034112,77.58784,12.836246,77.665242,2024-02-21 11:40:02,Bike,30.54,164.9,643.82,High,Sunny,1,4.1,1.8
12.924305,77.584388,12.988184,77.563761,2024-01-09 01:08:44,Mini,9.66,26.1,205.03,Free Flow,Sunny,3,3.6,0.9
13.202782,77.696728,13.002946,77.568563,2024-02-26 07:36:02,Prime,33.96,158.9,765.53,Heavy Rain,Rainy,4,4.2,1.56
12.968718,77.594877,12.923193,77.585996,2024-01-10 02:37:28,Bike,6.69,18.1,137.31,Free Flow,Cloudy,1,4.4,0.9
12.976901,77.633276,13.030592,77.592734,2024-01-14 09:47:03,Auto,9.6,62.2,273.45,Heavy Rain,Rainy,3,4.1,2.16
13.006864,77.557748,12.914831,77.604899,2024-01-24 08:04:05,Mini,14.83,80.1,348.08,High,Sunny,4,4.0,1.8
12.954706,77.645166,12.937,77.586577,2024-01-29 06:37:28,Prime,8.59,33.5,203.32,Medium,Sunny,4,4.1,1.3
12.936488,77.586029,12.918684,77.603503,2024-01-13 10:28:59,Auto,3.55,19.2,111.3,High,Sunny,3,4.8,1.8
12.956594,77.62997,12.921698,77.591532,2024-02-11 08:38:50,SUV,7.37,39.8,248.12,High,Cloudy,1,4.4,1.8
13.208567,77.71451,12.993223,77.569055,2024-02-18 11:14:24,Prime,37.15,200.6,796.71,High,Sunny,2,3.7,1.8
12.943165,77.625928,12.952663,77.703203,2024-02-24 17:50:48,Prime,10.9,58.9,269.15,High,Sunny,2,4.4,1.8
12.961,77.758598,13.203531,77.701331,2024-01-11 11:14:30,Prime,35.9,193.9,771.66,High,Sunny,2,4.0,1.8
12.922149,77.576433,12.915947,77.538399,2024-01-05 13:44:41,Bike,5.4,21.1,126.36,Medium,Sunny,1,4.6,1.3
12.996602,77.570429,13.033718,77.589858,2024-02-01 16:07:08,Mini,6.01,23.4,157.22,Medium,Cloudy,4,4.6,1.3
12.921677,77.544771,12.973801,77.589754,2024-01-03 18:35:54,SUV,9.81,53.0,297.16,High,Cloudy,6,4.4,1.8
12.99545,77.562821,12.935397,77.590047,2024-01-31 02:48:56,Mini,9.47,25.6,201.94,Free Flow,Sunny,3,4.4,0.9
12.934126,77.541863,12.97873,77.635076,2024-01-05 22:43:18,Prime,14.55,68.1,359.38,Heavy Rain,Rainy,3,3.9,1.56
12.919755,77.544471,13.190718,77.703568,2024-01-28 10:57:29,SUV,45.0,243.0,1004.44,High,Sunny,3,4.3,1.8
12.909656,77.64025,13.006155,77.559171,2024-01-14 20:05:54,Auto,17.96,97.0,401.07,High,Cloudy,3,3.7,1.8
12.980789,77.596866,12.937625,77.630326,2024-01-19 09:19:41,Bike,7.79,42.1,186.64,High,Sunny,1,4.9,1.8
12.973215,77.597037,13.00846,77.56342,2024-02-17 09:17:00,Mini,6.93,37.4,189.27,High,Cloudy,1,3.8,1.8
12.981665,77.648408,13.034596,77.600234,2024-02-26 00:30:49,Bike,10.19,27.5,193.52,Free Flow,Cloudy,1,3.5,0.9
12.98375,77.649581,13.20753,77.71305,2024-01-21 15:00:35,Bike,33.49,130.6,627.82,Medium,Sunny,1,3.9,1.3
12.929284,77.633931,12.962967,77.644385,2024-01-07 11:25:10,Prime,5.08,27.4,152.03,High,Cloudy,1,4.5,1.8
12.96374,77.640943,12.913915,77.608346,2024-01-05 19:51:48,SUV,8.52,46.0,271.16,High,Sunny,1,4.1,1.8
12.970925,77.598562,12.983078,77.560303,2024-01-23 16:12:15,Auto,5.64,22.0,140.58,Medium,Sunny,2,4.3,1.3
13.031017,77.606245,12.967219,77.697796,2024-02-14 20:25:57,Bike,15.78,85.2,347.15,High,Sunny,1,4.8,1.8
12.905363,77.637166,13.005386,77.565158,2024-01-21 08:11:29,Prime,17.6,95.1,403.84,High,Sunny,2,3.8,1.8
13.032508,77.602335,12.933372,77.537261,2024-01-03 19:43:13,Prime,16.96,91.6,390.88,High,Cloudy,1,3.9,1.8
13.006107,77.566423,12.995699,77.564908,2024-02-01 01:22:18,Auto,1.52,4.1,64.34,Free Flow,Sunny,3,4.1,0.9
12.926534,77.604601,12.942421,77.624371,2024-01-19 04:18:16,Bike,3.59,9.7,87.68,Free Flow,Sunny,1,3.6,0.9
12.852506,77.662455,12.997625,77.560745,2024-01-08 18:16:41,SUV,25.32,136.7,608.97,High,Sunny,4,4.9,1.8
13.005811,77.570852,12.963236,77.743971,2024-02-06 20:19:26,SUV,25.0,135.0,602.46,High,Sunny,2,3.6,1.8
12.853317,77.657954,12.921431,77.575171,2024-01-15 10:46:18,Mini,15.19,82.1,355.41,High,Cloudy,3,4.8,1.8
13.206763,77.697742,12.84022,77.653837,2024-01-15 22:59:35,Auto,53.25,207.7,990.47,Medium,Sunny,1,4.4,1.3
12.931038,77.589887,12.989041,77.565122,2024-01-18 01:47:18,SUV,9.06,24.5,245.4,Free Flow,Sunny,3,4.1,0.9
13.002619,77.571358,13.026847,77.599171,2024-01-05 02:59:57,Prime,5.23,14.1,133.98,Free Flow,Sunny,2,4.4,0.9
12.957191,77.696633,12.919008,77.543163,2024-01-19 03:51:01,Auto,22.18,59.9,395.93,Free Flow,Sunny,1,5.0,0.9
13.008505,77.558107,12.935074,77.54603,2024-02-24 07:59:43,Mini,10.73,41.8,241.53,Medium,Cloudy,3,4.3,1.3
12.97892,77.598854,12.997499,77.568212,2024-03-01 04:59:44,Auto,5.06,13.7,121.18,Free Flow,Cloudy,1,3.8,0.9
12.918995,77.538859,12.852245,77.669919,2024-01-19 12:18:54,Prime,20.72,80.8,419.84,Medium,Sunny,1,3.9,1.3
12.957425,77.687427,12.940493,77.626198,2024-02-04 15:47:18,Prime,8.91,34.8,209.07,Medium,Sunny,4,4.6,1.3
13.011269,77.569451,12.85484,77.6661,2024-01-21 20:51:11,Mini,26.32,142.1,578.95,High,Sunny,4,4.9,1.8
12.949726,77.694572,12.973287,77.749848,2024-01-01 08:27:19,SUV,8.45,54.8,311.91,Heavy Rain,Rainy,6,4.5,2.16
12.921251,77.618438,12.979328,77.751778,2024-02-09 07:49:34,SUV,20.46,79.8,465.19,Medium,Cloudy,3,4.6,1.3
13.027628,77.595667,12.933097,77.589516,2024-01-05 01:57:00,SUV,13.67,36.9,319.37,Free Flow,Cloudy,2,4.8,0.9
12.925426,77.617748,12.927798,77.550086,2024-02-22 14:10:58,SUV,9.48,37.0,269.16,Medium,Sunny,5,3.5,1.3
12.915877,77.553337,12.933269,77.615181,2024-01-21 23:28:32,SUV,9.01,24.3,244.66,Free Flow,Sunny,6,3.9,0.9
12.96888,77.693538,12.981907,77.559534,2024-01-22 01:23:21,SUV,18.85,50.9,402.55,Free Flow,Sunny,6,4.3,0.9
12.999982,77.562034,12.920139,77.554496,2024-01-02 08:55:26,SUV,11.57,62.5,332.55,High,Sunny,5,3.5,1.8
12.917329,77.650876,13.026375,77.588439,2024-01-30 05:28:19,Mini,18.0,48.6,338.89,Free Flow,Cloudy,3,3.7,0.9
12.93125,77.58484,13.191692,77.699893,2024-02-11 03:39:00,Auto,40.89,110.4,696.23,Free Flow,Sunny,2,4.5,0.9
13.193707,77.707424,12.916218,77.548835,2024-01-06 12:17:21,Bike,45.78,178.6,847.23,Medium,Cloudy,1,4.3,1.3
12.957147,77.707299,12.850353,77.663049,2024-02-06 22:35:24,SUV,16.61,64.8,396.46,Medium,Cloudy,2,4.0,1.3
12.936823,77.591689,12.963311,77.744798,2024-01-01 01:37:26,Bike,21.77,58.8,379.39,Free Flow,Cloudy,1,3.6,0.9
12.950989,77.628742,12.918174,77.61242,2024-02-29 08:26:44,SUV,5.26,34.1,235.61,Heavy Rain,Rainy,1,4.5,2.16
13.001171,77.570317,12.985851,77.64263,2024-01-01 03:43:33,Prime,10.36,28.0,216.28,Free Flow,Sunny,4,3.7,0.9
13.200969,77.716068,12.844515,77.659952,2024-02-15 17:55:56,Auto,52.03,281.0,1085.86,High,Sunny,1,4.3,1.8
12.934587,77.631165,12.84565,77.666781,2024-01-16 02:34:36,Mini,13.77,37.2,270.97,Free Flow,Cloudy,3,4.1,0.9
13.044961,77.590081,12.923973,77.547021,2024-03-01 17:09:42,SUV,18.47,99.7,471.24,High,Sunny,1,4.1,1.8
12.959421,77.705548,12.967614,77.754362,2024-01-08 10:45:54,Mini,6.93,37.4,189.37,High,Cloudy,1,4.7,1.8
12.935508,77.583269,12.838165,77.663966,2024-02-06 09:08:00,Prime,18.02,97.3,412.3,High,Sunny,2,4.9,1.8
12.932242,77.578831,13.011683,77.571175,2024-02-01 19:41:48,Auto,11.51,62.2,271.42,High,Sunny,2,5.0,1.8
13.000627,77.569289,13.027769,77.60111,2024-01-19 11:56:06,Prime,5.93,32.0,169.21,High,Sunny,1,4.2,1.8
13.033061,77.605719,12.905834,77.646035,2024-02-05 00:37:42,SUV,19.21,51.9,408.26,Free Flow,Cloudy,4,4.4,0.9
13.011503,77.563973,12.847124,77.660077,2024-02-08 12:47:36,Mini,27.27,106.3,536.75,Medium,Sunny,3,3.7,1.3
13.199129,77.708637,12.922794,77.588369,2024-03-01 13:52:03,Bike,43.28,168.8,802.6,Medium,Sunny,1,4.5,1.3
